"Branch","CODE","TITLE","PaperID","Scheme","Semester","Day and Date of Exam","Session (M/E)","Start time, Time window 3 hours, Duration 2 hours"
"CE","DECE-14808","Pre-stressed Concrete",15695,,8,"Monday, October 19, 2020","E","2:00 PM"
"CE","BTCE-809","Pre-stressed Concrete","A2963",,7,"Monday, October 19, 2020","E","2:00 PM"
"CE","CE-14603","Professional Practice",15558,,6,"Thursday, November 5, 2020","M","10:00 AM"
"CE","BTCE-605","Professional Practice","A2292",,6,"Thursday, November 5, 2020","M","10:00 AM"
"CE","DECE-14607","Reinforced Earth and Geotextiles",15561,,6,"Tuesday, November 10, 2020","M","10:00 AM"
"CE","CE-14303","Rock Mechanics & Engineering Geology",15302,,3,"Monday, October 26, 2020","E","2:00 PM"
"CE","OECS-14601","Software Project Management",15537,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"CE","CE-14304","Strength of Materials",15303,,3,"Tuesday, October 27, 2020","E","2:00 PM"
"CE","BTCE-303","Strength of Materials","A1133",,3,"Tuesday, October 27, 2020","E","2:00 PM"
"CE","CE-14406","Structural Analysis-I",15376,,4,"Tuesday, November 10, 2020","E","2:00 PM"
"CE","BTCE-406","Structural Analysis-I","A1176",,4,"Tuesday, November 10, 2020","E","2:00 PM"
"CE","CE-14503","Structural Analysis-II",15423,,5,"Tuesday, October 27, 2020","M","10:00 AM"
"CE","BTCE-503","Structural Analysis-II","A2080",,5,"Tuesday, October 27, 2020","M","10:00 AM"
"CE","CE-14305","Surveying",15304,,3,"Wednesday, October 28, 2020","E","2:00 PM"
"CE","BTCE-304","Surveying","A1116",,3,"Wednesday, October 28, 2020","E","2:00 PM"
"CE","OEME-14601","Total Quality Management",15545,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"CE","BTCE-819","Traffic Engineering","A2973",,8,"Monday, October 19, 2020","E","2:00 PM"
"CE","CE-14504","Transportation Engineering-I",15424,,5,"Thursday, October 29, 2020","M","10:00 AM"
"CE","BTCE-504","Transportation Engineering-I","A2081",,5,"Thursday, October 29, 2020","M","10:00 AM"
"CE","BTCE-804","Transportation Engineering-II","A2959",,8,"Friday, October 16, 2020","E","2:00 PM"
"CSE","CS-14602","Advanced Database Systems",15567,,6,"Monday, November 9, 2020","M","10:00 AM"
"CSE","BTCS-909","Agile Software Development","A2991",,8,"Monday, October 19, 2020","E","2:00 PM"
"CSE","DECS-14606","Artificial Intelligence",15571,,6,"Wednesday, November 11, 2020","M","10:00 AM"
"CSE","BTCS-701","Artificial Intellligence","A2985",,7,"Wednesday, October 14, 2020","E","2:00 PM"
"CSE","BTCS-701","Artificial Intellligence","A2985",,8,"Wednesday, October 14, 2020","E","2:00 PM"
"CSE","BTCS-912","Cloud Computing","A2994",,7,"Friday, October 16, 2020","E","2:00 PM"
"CSE","CS-14302","Computer Architecture and Organisation",15231,,3,"Wednesday, October 21, 2020","E","2:00 PM"
"CSE","CS-14502","Computer Graphics",15457,,5,"Friday, November 6, 2020","M","10:00 AM"
"CSE","BTCS-504","Computer Graphics","A2100",,5,"Friday, November 6, 2020","M","10:00 AM"
"CSE","CS-14403","Computer Networks",15325,,4,"Friday, November 6, 2020","E","2:00 PM"
"CSE","BTCS-403","Computer Networks-I","A1185",,4,"Friday, November 6, 2020","E","2:00 PM"
"CSE","BTCS-505","Computer Peripherals and Interfaces","A2101",,5,"Thursday, October 29, 2020","M","10:00 AM"
"CSE","DECS-14506","Cryptography and Network Security",15460,,5,"Thursday, November 5, 2020","M","10:00 AM"
"CSE","CS-14304","Data Structures and Algorithms",15233,,3,"Monday, October 26, 2020","E","2:00 PM"
"CSE","BTCS-503","Design & Analysis of Algorithms","A2099",,5,"Monday, November 2, 2020","M","10:00 AM"
"CSE","CS-14503","Design and Analysis of Algorithms",15458,,5,"Monday, November 2, 2020","M","10:00 AM"
"CSE","BTCS-303","Digital Circuits & Logic Design","A1125",,3,"Friday, October 23, 2020","E","2:00 PM"
"CSE","CS-14303","Digital Circuits and Logic Design",15232,,3,"Friday, October 23, 2020","E","2:00 PM"
"CSE","DECS-14605","Digital Image Processing",15570,,6,"Wednesday, November 11, 2020","M","10:00 AM"
"CSE","CS-14401","Discrete structures",15323,,4,"Wednesday, October 28, 2020","E","2:00 PM"
"CSE","BTCS-402","Discrete Structures","A2305",,4,"Wednesday, October 28, 2020","E","2:00 PM"
"CSE","BTCS-916","Enterprise Resource Planning","A2998",,8,"Tuesday, October 20, 2020","E","2:00 PM"
"CSE","HU-251","Human Resource Management","A2644",,6,"Wednesday, November 4, 2020","M","10:00 AM"
"CSE","CS-14405","Java Programming",15327,,4,"Tuesday, November 3, 2020","E","2:00 PM"
"CSE","CS-14301","Mathematics-III",15230,,3,"Thursday, October 22, 2020","E","2:00 PM"
"CSE","BTAM-302","Mathematics-III","A2143",,3,"Thursday, October 22, 2020","E","2:00 PM"
"CSE","CS-14301","Mathematics-III (Batch 2017 Onwards)","BCS14301",,3,"Thursday, October 22, 2020","E","2:00 PM"
"CSE","CS-14404","Microprocessor Architecture and Programming",15326,,4,"Monday, November 2, 2020","E","2:00 PM"
"CSE","BTCS-404","Microprocessor& Assembly Language Programming","A1186",,4,"Monday, November 2, 2020","E","2:00 PM"
"CSE","OEEC-14602","Neural Networks and Fuzzy Logic",15542,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"CSE","CS-14305","Object Oriented Programming using C++",15234,,3,"Tuesday, October 27, 2020","E","2:00 PM"
"CSE","BTCS-305","Object Oriented Programming using C++","A1129",,3,"Tuesday, October 27, 2020","E","2:00 PM"
"CSE","CS-14402","Operating System",15324,,4,"Thursday, October 29, 2020","E","2:00 PM"
"CSE","BTCS-401","Operating Systems","A1183",,4,"Thursday, October 29, 2020","E","2:00 PM"
"CSE","BTCS-602","RDBMS-II","A2307",,6,"Wednesday, November 11, 2020","M","10:00 AM"
"CSE","CS-14501","Relational Database Management System",15456,,5,"Thursday, October 29, 2020","M","10:00 AM"
"CSE","BTCS-601","Simulation and Modeling","A2306",,6,"Monday, November 9, 2020","M","10:00 AM"
"CSE","CS-14603","Software Engineering",15568,,6,"Tuesday, November 10, 2020","M","10:00 AM"
"CSE","BTCS-603","Software Engineering","A2308",,6,"Tuesday, November 10, 2020","M","10:00 AM"
"CSE","BTCS-405","System Programming","A1187",,4,"Tuesday, November 3, 2020","E","2:00 PM"
"CSE","CS-14601","Theory of Computation",15566,,6,"Tuesday, October 27, 2020","M","10:00 AM"
"CSE","BTCS-702","Theory of Computation","A2986",,7,"Thursday, October 15, 2020","E","2:00 PM"
"CSE","BTCS-702","Theory of Computation","A2986",,8,"Thursday, October 15, 2020","E","2:00 PM"
"CSE","OEME-14601","Total Quality Management",15545,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"CSE","CS-14504","Web Technologies",15459,,5,"Tuesday, November 3, 2020","M","10:00 AM"
"CSE","DECS-14507","Wireless Network",15912,,5,"Thursday, November 5, 2020","M","10:00 AM"
"ECE","EC-14502","Analog Communication Systems",15430,,5,"Friday, November 6, 2020","M","10:00 AM"
"ECE","BTEC-301","Analog Devices & Circuits","A1130",,3,"Friday, October 23, 2020","E","2:00 PM"
"ECE","EC-14501","Antenna and Wave Propagation",15429,,5,"Thursday, October 29, 2020","M","10:00 AM"
"ECE","DEEC-14507","Business Analytics",15916,,5,"Wednesday, October 28, 2020","M","10:00 AM"
"ECE","BTEC-302","Digital Circuit and Logic Design","A1131",,3,"Monday, October 26, 2020","E","2:00 PM"
"ECE","BTEC-501","Digital Communication System","A2103",,5,"Friday, November 6, 2020","M","10:00 AM"
"ECE","EC-14601","Digital Communication Systems",15594,,6,"Monday, November 9, 2020","M","10:00 AM"
"ECE","EC-14405","Digital Electronics",15384,,4,"Tuesday, November 3, 2020","E","2:00 PM"
"ECE","EC-14503","Digital Signal Processing",15431,,5,"Monday, November 2, 2020","M","10:00 AM"
"ECE","BTEC-502","Digital Signal Processing","A2104",,5,"Monday, November 2, 2020","M","10:00 AM"
"ECE","EC-14404","Electromagnetic Field Theory",15383,,4,"Monday, November 2, 2020","E","2:00 PM"
"ECE","BTEC-403","Electromagnetics & Antennas","A1191",,4,"Monday, November 2, 2020","E","2:00 PM"
"ECE","EC-14303","Electronic Devices & Circuits-I",15251,,3,"Friday, October 23, 2020","E","2:00 PM"
"ECE","EC-14304","Electronic Measurement & Instrumentation",15252,,3,"Monday, October 26, 2020","E","2:00 PM"
"ECE","BTEC-404","Electronic Measurement & Instrumentation","A1192",,4,"Tuesday, November 3, 2020","E","2:00 PM"
"ECE","EC-14402","Electronics Devices & Circuits-II",15381,,4,"Thursday, October 29, 2020","E","2:00 PM"
"ECE","BTEC-701","Embedded Systems","A3000",,7,"Wednesday, October 14, 2020","E","2:00 PM"
"ECE","EC-14301","Engineering Mathematics-III",15249,,3,"Thursday, October 22, 2020","E","2:00 PM"
"ECE","BTAM-301","Engineering Mathematics-III","A1128",,3,"Thursday, October 22, 2020","E","2:00 PM"
"ECE","EC-14301","Engineering Mathematics-III (Batch 2017 Onwards)","BEC14301",,3,"Thursday, October 22, 2020","E","2:00 PM"
"ECE","DEEC-14607","Information Theory and Coding",15600,,6,"Tuesday, October 27, 2020","M","10:00 AM"
"ECE","DEEC-14506","Intellectual Property Rights",15494,,5,"Thursday, November 5, 2020","M","10:00 AM"
"ECE","DEEC-14608","Intelligent Robotics",15601,,6,"Tuesday, October 27, 2020","M","10:00 AM"
"ECE","EC-14401","Linear Control Systems",15380,,4,"Wednesday, October 28, 2020","E","2:00 PM"
"ECE","BTEC-503","Linear Integrated Circuit","A2105",,5,"Tuesday, November 3, 2020","M","10:00 AM"
"ECE","EC-14504","Linear Integrated Circuits",15432,,5,"Tuesday, November 3, 2020","M","10:00 AM"
"ECE","EC-14604","Microcontrollers and Embedded Systems",15597,,6,"Monday, October 26, 2020","M","10:00 AM"
"ECE","BTEC-504","Microprocessors & Microcontrollers","A2106",,5,"Wednesday, November 4, 2020","M","10:00 AM"
"ECE","EC-14505","Microprocessors and Interfacing",15433,,5,"Wednesday, November 4, 2020","M","10:00 AM"
"ECE","EC-14602","Microwave and Radar Engineering",15595,,6,"Tuesday, November 10, 2020","M","10:00 AM"
"ECE","EC-14305","Network Analysis and Synthesis",15253,,3,"Tuesday, October 27, 2020","E","2:00 PM"
"ECE","BTEC-303","Network Analysis and Synthesis","A1127",,3,"Tuesday, October 27, 2020","E","2:00 PM"
"ECE","EC-14302","Object Oriented Programming Using C++ and Data Structures",15250,,3,"Wednesday, October 21, 2020","E","2:00 PM"
"ECE","OECE-14602","Project Monitoring and Management",15536,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"ECE","EC-14406","Pulse Wave Shaping & Switching",15385,,4,"Wednesday, November 4, 2020","E","2:00 PM"
"ECE","BTEC-405","Pulse Wave Shaping and Switching","A1193",,4,"Wednesday, November 4, 2020","E","2:00 PM"
"ECE","BTEC-402","Signal & Systems","A1190",,4,"Friday, November 6, 2020","E","2:00 PM"
"ECE","EC-14403","Signals & Systems",15382,,4,"Friday, November 6, 2020","E","2:00 PM"
"ECE","OECS-14601","Software Project Management",15537,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"ECE","DEEC-14508","Software Project Management",15917,,5,"Friday, October 23, 2020","M","10:00 AM"
"ECE","OEME-14601","Total Quality Management",15545,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"ECE","DEEC-14509","Total Quality Management",15877,,5,"Thursday, November 5, 2020","M","10:00 AM"
"ECE","BTEC-604","VLSI Design","A2318",,6,"Monday, November 9, 2020","M","10:00 AM"
"ECE","EC-14603","Wireless and Mobile Communication Systems",15596,,6,"Wednesday, November 11, 2020","M","10:00 AM"
"EE","EE-14401","Asynchronous Machines",15352,,4,"Wednesday, October 28, 2020","E","2:00 PM"
"EE","BTEE-401","Asynchronous Machines","A1209",,4,"Wednesday, October 28, 2020","E","2:00 PM"
"EE","BTEE-301","Circuit Theory","A1134",,3,"Wednesday, October 21, 2020","E","2:00 PM"
"EE","DEEE-14602","Computer Aided Electrical Machine Design",15589,,6,"Tuesday, October 27, 2020","M","10:00 AM"
"EE","BTEE-605A","Computer Aided Electrical Machine Design","A2339",,6,"Tuesday, October 27, 2020","M","10:00 AM"
"EE","EE-14402","Control Systems",15353,,4,"Thursday, October 29, 2020","E","2:00 PM"
"EE","BTEE-402","Control Systems","A1188",,4,"Thursday, October 29, 2020","E","2:00 PM"
"EE","EE-14405","Digital Electronics",15356,,4,"Tuesday, November 3, 2020","E","2:00 PM"
"EE","BTEC-404","Digital Electronics","A1207",,4,"Tuesday, November 3, 2020","E","2:00 PM"
"EE","BTEE-601","Electric Power Utilization","A2334",,6,"Tuesday, November 10, 2020","M","10:00 AM"
"EE","EE-14602","Electrical Drives and Utilization",15585,,6,"Tuesday, November 10, 2020","M","10:00 AM"
"EE","EE-14603","Electrical Generation and Economics",15586,,6,"Wednesday, November 11, 2020","M","10:00 AM"
"EE","BTEE-303","Electrical Measurements & Instrumentation","A1136",,3,"Friday, October 23, 2020","E","2:00 PM"
"EE","EE-14303","Electrical Measurements & Measuring Instruments",15293,,3,"Friday, October 23, 2020","E","2:00 PM"
"EE","EE-14403","Electromagnetic Field Theory",15354,,4,"Friday, November 6, 2020","E","2:00 PM"
"EE","BTEE-403","Electromagnetic Field Theory","A1206",,4,"Friday, November 6, 2020","E","2:00 PM"
"EE","BTEE-403","Electromagnetic Fields","A1206",,4,"Friday, November 6, 2020","E","2:00 PM"
"EE","EE-14305","Electronic Devices and Circuits",15295,,3,"Tuesday, October 27, 2020","E","2:00 PM"
"EE","BTEE-304","Electronic Devices and Circuits","A1137",,3,"Tuesday, October 27, 2020","E","2:00 PM"
"EE","DEEE-14504","Energy Auditing and Management",15526,,5,"Thursday, November 5, 2020","M","10:00 AM"
"EE","EE-14301","Engineering Mathematics-III",15291,,3,"Thursday, October 22, 2020","E","2:00 PM"
"EE","BTAM-301","Engineering Mathematics-III","A1128",,3,"Thursday, October 22, 2020","E","2:00 PM"
"EE","EE-14301","Engineering Mathematics-III (Batch 2017 Onwards)","BEE14301",,3,"Thursday, October 22, 2020","E","2:00 PM"
"EE","BTEE-802","High Voltage Engineering","A3033",,8,"Friday, October 16, 2020","E","2:00 PM"
"EE","EE-14503","Industrial Electronics",15440,,5,"Monday, November 2, 2020","M","10:00 AM"
"EE","EE-14504","Instrumentation Engineering",15441,,5,"Tuesday, November 3, 2020","M","10:00 AM"
"EE","BTEE-402","Linear Control Systems","A1188",,4,"Thursday, October 29, 2020","E","2:00 PM"
"EE","BTEE-604","Microcontroller and PLC","A2337",,6,"Monday, October 26, 2020","M","10:00 AM"
"EE","EE-14604","Microcontroller and Programmable Logic Controllers",15587,,6,"Monday, October 26, 2020","M","10:00 AM"
"EE","OEEC-14601","Microprocessors and Microcontrollers",15541,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"EE","EE-14302","Network Analysis and Synthesis",15292,,3,"Wednesday, October 21, 2020","E","2:00 PM"
"EE","BTEE-603","Non-Linear & Digital Control Systems","A2336",,6,"Wednesday, November 11, 2020","M","10:00 AM"
"EE","EE-14502","Numerical & Statistical Techniques",15439,,5,"Friday, November 6, 2020","M","10:00 AM"
"EE","EE-14406","Object Oriented Programing",15357,,4,"Wednesday, November 4, 2020","E","2:00 PM"
"EE","OECS-14602","Object Oriented Programming using JAVA",15538,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"EE","BTEE-504","Power Electronics","A2110",,5,"Monday, November 2, 2020","M","10:00 AM"
"EE","BTEE-406","Power Plant Engineering","A2021",,4,"Wednesday, November 4, 2020","E","2:00 PM"
"EE","BTEE-801","Power System Analysis","A3032",,7,"Monday, October 19, 2020","E","2:00 PM"
"EE","BTEE-801","Power System Analysis","A3032",,8,"Monday, October 19, 2020","E","2:00 PM"
"EE","EE-14404","Power System I (Transmission & Distribution)",15355,,4,"Monday, November 2, 2020","E","2:00 PM"
"EE","BTEE-405","Power System I (Transmission & Distribution)","A1208",,4,"Monday, November 2, 2020","E","2:00 PM"
"EE","DEEE-14601","Power System Operation and Control",15588,,6,"Tuesday, October 27, 2020","M","10:00 AM"
"EE","BTEE-405","Power System-I (Transmission & Distribution)","A1208",,4,"Monday, November 2, 2020","E","2:00 PM"
"EE","BTEE-602","Power System-II (Switch Gear & Protection)","A2335",,6,"Monday, November 9, 2020","M","10:00 AM"
"EE","EE-14601","Power System-II (Switchgear and Protection)",15584,,6,"Monday, November 9, 2020","M","10:00 AM"
"EE","OECE-14602","Project Monitoring and Management",15536,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"EE","DEEE-14501","Renewable Energy Resources",15527,,5,"Thursday, November 5, 2020","M","10:00 AM"
"EE","OECS-14601","Software Project Management",15537,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"EE","EE-14501","Synchronous Machines",15438,,5,"Thursday, October 29, 2020","M","10:00 AM"
"EE","BTEE-501","Synchronous Machines","A2107",,5,"Thursday, October 29, 2020","M","10:00 AM"
"EE","OEME-14601","Total Quality Management",15545,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"EE","EE-14304","Transformers & Direct Current Machines",15294,,3,"Monday, October 26, 2020","E","2:00 PM"
"EE","BTEE-302","Transformers & Direct Current Machines","A1135",,3,"Monday, October 26, 2020","E","2:00 PM"
"IT","BTCS-913","Compiler Design","A2995",,7,"Wednesday, October 14, 2020","E","2:00 PM"
"IT","IT-14405","Computer Architecure and Microprocessors",15336,,4,"Monday, October 26, 2020","E","2:00 PM"
"IT","IT-14403","Data Communication and Computer Networks",15334,,4,"Thursday, October 22, 2020","E","2:00 PM"
"IT","IT-14303","Data Structures and Programming Methodology",15213,,3,"Tuesday, October 20, 2020","E","2:00 PM"
"IT","IT-14401","Database Management system",15333,,4,"Wednesday, October 21, 2020","E","2:00 PM"
"IT","BTCS-303","Digital Circuits & Logic Design","A1125",,3,"Friday, October 23, 2020","E","2:00 PM"
"IT","CS-14303","Digital Circuits and Logic Design",15232,,3,"Friday, October 23, 2020","E","2:00 PM"
"IT","IT-14501","Discrete Mathematics",15403,,5,"Thursday, October 29, 2020","M","10:00 AM"
"IT","BTCS-402","Discrete Structures","A2305",,4,"Wednesday, October 28, 2020","E","2:00 PM"
"IT","IT-14504","Human Computer Interaction",15406,,5,"Tuesday, November 3, 2020","M","10:00 AM"
"IT","IT-14601","Information Assurance and Security",15608,,6,"Wednesday, November 11, 2020","M","10:00 AM"
"IT","DEIT-14615","Information Storage and Management",15618,,6,"Monday, November 9, 2020","M","10:00 AM"
"IT","BTAM-302","Mathematics-III","A2143",,3,"Thursday, October 22, 2020","E","2:00 PM"
"IT","CS-14305","Object Oriented Programming using C++",15234,,3,"Tuesday, October 27, 2020","E","2:00 PM"
"IT","CS-14402","Operating System",15324,,4,"Thursday, October 29, 2020","E","2:00 PM"
"IT","IT-14603","Probability and Statistics",15620,,6,"Tuesday, November 10, 2020","M","10:00 AM"
"IT","IT-14502","Programming in Java",15404,,5,"Friday, November 6, 2020","M","10:00 AM"
"IT","IT-14602","Software Engineering and Testing",15609,,6,"Thursday, November 5, 2020","M","10:00 AM"
"IT","OECS-14601","Software Project Management",15537,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"IT","IT-14503","Theory of Computation",15405,,5,"Monday, November 2, 2020","M","10:00 AM"
"IT","IT-14404","Web Technologies",15335,,4,"Monday, October 19, 2020","E","2:00 PM"
"M.Tech. (EE)","MTEE-503","Advanced Electrical Machines","BMTEE503",,2,"Tuesday, October 27, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-504","Advanced Power Electronics","BMTEE504",,1,"Wednesday, October 28, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-505","Advanced Relaying and Protection",15398,,4,"Monday, October 19, 2020","M","10:00 AM"
